No,공원명,위도,경도,경도,지번주소,도로명주소
128,서인공원,37.522729,126.6864181,,인천광역시 서구 가정동 545,인천광역시 부평구 서달로298번길 6
129,상동공원,37.5667934,126.6776419,,인천광역시 서구 검암동 496,인천광역시 서구 검암로39번길 28
130,서부산단공원,37.5554991,126.6396832,,인천광역시 서구 경서동 678,인천광역시 서구 사렴로 71
131,장모루공원,37.5677459,126.6757858,,인천광역시 서구 검암동 594-2,인천광역시 서구 도요지로189번길 141
132,검바위공원,37.5626391,126.6755015,,인천광역시 서구 검암동 619-5,인천광역시 서구 승학로506번길 33
133,삽지공원,37.5674993,126.6811448,,인천광역시 서구 검암동 504-1,인천광역시 서구 검암로30번길 3-7
134,아랫말공원(경서4호),37.5557117,126.6560555,,인천광역시 서구 경서동 760,인천광역시 서구 경서로32번길 18
135,과기공원,37.5580889,126.674965,,인천광역시 서구 검암동 657-2,인천광역시 서구 승학로402번길 13-7
136,간재울공원,37.5641061,126.6745734,,인천광역시 서구 검암동 607-2,인천광역시 서구 승학로472번길 9
137,넘말공원(경서2호),37.5576935,126.6557765,,인천광역시 서구 경서동 739,인천광역시 서구 경서로14번길 61
138,진포공원(경서1호),37.5606277,126.651839,,인천광역시 서구 경서동 719-1,인천광역시 서구 도요지로 15
139,허암공원,37.5650713,126.6837949,,인천광역시 서구 검암동 534-3,인천광역시 서구 검암로10번길 26
140,원신공원,37.5154788,126.6631365,,인천광역시 서구 신현동 산 33,인천광역시 서구 율도로15번길 26-8
141,신촌공원,37.5079641,126.6697133,,인천광역시 서구 석남동 521-1,인천광역시 서구 염곡로260번길 14
142,석남체육공원,37.5103556,126.675024,,인천광역시 서구 석남동 483,인천광역시 서구 가남로 319
143,서곶공원,37.5466529,126.6804314,,인천광역시 서구 심곡동 산 15-2,인천광역시 서구 서곶로314번길 16
144,건지공원,37.493622,126.6792083,,인천광역시 서구 가좌동 198-11,인천광역시 서구 건지로334번길 47
145,한신공원,37.4846322,126.6873944,,인천광역시 서구 가좌동 408-12,인천광역시 서구 여우재로75번길 12
146,장고개공원,37.4904297,126.6876411,,인천광역시 서구 가좌동 307,인천광역시 서구 여우재로 130-13
147,인천교공원,37.4771783,126.6715157,,인천광역시 동구 송림동 319,인천광역시 동구 방축로 249
148,심곡공원,37.5443051,126.6807747,,인천광역시 서구 심곡동 312,인천광역시 서구 탁옥로97번길 12
149,탁옥공원,37.5449856,126.6833389,,인천광역시 서구 심곡동 290-5,인천광역시 서구 심곡로132번길 12
150,백설,37.4762359,126.9535123,,서울특별시 관악구 봉천동 1606-11,서울특별시 관악구 관악로6길 50
151,울산대공원,35.53098401,129.2939177,,울산광역시 남구 옥동 146-1,울산광역시 남구 대공원로 103
152,배실,35.86047099,128.5011242,,대구광역시 달서구 이곡동 1165,대구광역시 달서구 선원로23길 152
153,수밭,35.7988027,128.5482878,,대구광역시 달서구 도원동 898-1,대구광역시 달서구 월곡로 6
154,와룡(위),35.85778812,128.5007081,,대구광역시 달서구 이곡동 1189,대구광역시 달서구 성서서로 360-1
155,용산근린,35.85598189,128.5285095,,대구광역시 달서구 용산동 949,대구광역시 달서구 용산로 205
156,월곡,35.81912401,128.5451632,,대구광역시 달서구 상인동 884-1,대구광역시 달서구 상인로 134-9
157,월명,35.8281201,128.5288887,,대구광역시 달서구 월성동 87,대구광역시 달서구 월곡로 410
158,월배,35.81283464,128.5367433,,대구광역시 달서구 상인동 1477,대구광역시 달서구 상원로 32
159,월촌,35.81277938,128.5489485,,대구광역시 달서구 상인동 1559,대구광역시 달서구 상인로 68-4
160,이곡생수,35.85443771,128.5147112,,대구광역시 달서구 이곡동 1301-2,대구광역시 달서구 이곡공원로 54
161,월배체육공원,35.80160097,128.5364959,,대구광역시 달서구 도원동 1473,대구광역시 달서구 갈밭남로 76
162,창공,35.83192291,128.5331421,,대구광역시 달서구 월성동 270,대구광역시 달서구 월성로 20
163,채정,35.80967377,128.5500446,,대구광역시 달서구 상인동 1581-1,대구광역시 달서구 월곡로26안길 27
164,춘추,35.8551821,128.5360883,,대구광역시 달서구 죽전동 376-4,대구광역시 달서구 와룡로49길 18-17
165,치영,35.82446957,128.5528916,,대구광역시 달서구 송현동 1966-5,대구광역시 달서구 송현로2길 99-25
166,토끼와거북이,35.83303864,128.5520654,,대구광역시 달서구 송현동 950,대구광역시 달서구 학산로50길 18-6
167,신당,35.85842521,128.498908,,대구광역시 달서구 신당동 1759,대구광역시 달서구 성서서로75길 17-7
168,애화,35.83298462,128.534104,,대구광역시 달서구 본동 616-4,대구광역시 달서구 구마로12길 93
169,월성,35.82361602,128.522207,,대구광역시 달서구 월성동 1431,대구광역시 달서구 조암로14길 3
170,윗한실1,35.79398929,128.5303102,,대구광역시 달서구 대곡동 854,대구광역시 달서구 한실로6길 155-15
171,사령봉,35.85292679,128.5032909,,대구광역시 달서구 이곡동 1155,대구광역시 달서구 달구벌대로245길 17-12
172,새동네,35.85703549,128.5225599,,대구광역시 달서구 용산동 459-1,대구광역시 달서구 성지로16길 45
173,돌산,35.85741103,128.4935096,,대구광역시 달서구 신당동 1706-9,대구광역시 달서구 서당로9길 40-28
174,목련,35.8557268,128.508302,,대구광역시 달서구 이곡동 1230-1,대구광역시 달서구 이곡공원로1길 7
175,미성,35.83192291,128.5331421,,대구광역시 달서구 월성동 270,대구광역시 달서구 월성로 20
176,병풍바위,35.8614499,128.5209723,,대구광역시 달서구 용산동 517,대구광역시 달서구 새방로 23-16
177,구암,35.82668111,128.5462775,,대구광역시 달서구 송현동 2045,대구광역시 달서구 월배로67안길 14
178,궁전,35.8426368,128.5350292,,대구광역시 달서구 장기동 845,대구광역시 달서구 용산로12길 86
179,능금,35.85950078,128.5709285,,대구광역시 달서구 두류동 1213,대구광역시 달서구 명덕로2길 57
180,달서1,35.8534133,128.5716708,,대구광역시 달서구 두류동 812-1,대구광역시 달서구 성당로47길 41
181,호산,35.84898659,128.4839363,,대구광역시 달서구 호산동 357-60,대구광역시 달서구 달서대로109길 70
182,소공원,35.8109975,128.5241605,,대구광역시 달서구 진천동 808-96,대구광역시 달서구 상화로21길 59
183,월곡공원,35.81912401,128.5451632,,대구광역시 달서구 상인동 884-1,대구광역시 달서구 상인로 134-9
184,월광1수변공원,35.7988027,128.5482878,,대구광역시 달서구 도원동 898-1,대구광역시 달서구 월곡로 6
185,월광2수변공원,35.8062601,128.5435924,,대구광역시 달서구 도원동 1454,대구광역시 달서구 미리샘길 26
186,서림공원,35.7329193,126.731487,,전라북도 부안군 부안읍 서외리 산 1-1,전라북도 부안군 부안읍 동헌길 19-1
187,수양공원,35.08472234,128.0939925,,경상남도 사천시 사천읍 정의리 172,경상남도 사천시 사천읍 수양로 80-83
188,초전공원,35.06113217,128.0620506,,경상남도 사천시 사남면 방지리 652,경상남도 사천시 사남면 외국기업로 107
189,망산공원,34.93105233,128.0731063,,경상남도 사천시 선구동 26-1,경상남도 사천시 선구2길 50
190,예양공원,34.676645,126.898264,,전라남도 장흥군 장흥읍 남동리 60,전라남도 장흥군 장흥읍 읍성로 104
191,심천공원,34.75220793,126.8936596,,전라남도 장흥군 부산면 지천리 산 154-1,전라남도 장흥군 부산면 심천공원길 25-45
192,연곡공원,35.7104481,126.7348038,,전라북도 부안군 부안읍 연곡리 산 35-1,전라북도 부안군 부안읍 석동길 68-9
193,찬누리공원,35.9767881,127.1172001,,전라북도 완주군 봉동읍 장구리 600,전라북도 완주군 봉동읍 우동로 122
194,울산대공원,35.53098401,129.2939177,,울산광역시 남구 옥동 146-1,울산광역시 남구 대공원로 103
195,제1호근린공원,35.6815594,126.5356747,,전라북도 부안군 변산면 대항리 614,전라북도 부안군 변산면 방포길 8
196,제2호근린공원,35.6803815,126.5313881,,전라북도 부안군 변산면 대항리 634,전라북도 부안군 변산면 변산로 2086
197,범산공원,35.5922462,126.6145055,,전라북도 부안군 진서면 곰소리 산 1,전라북도 부안군 진서면 곰소윗길 77-22
198,백련공원,35.7147319,126.6001006,,전라북도 부안군 하서면 백련리 1229,전라북도 부안군 하서면 월포길 75
199,진서공원,35.5903398,126.6142537,,전라북도 부안군 진서면 곰소리 883,전라북도 부안군 진서면 곰소8길 23-9
200,매창공원,35.7209372,126.7282973,,전라북도 부안군 부안읍 서외리 455-84,전라북도 부안군 부안읍 매창1길 25
201,부안공원,35.7310821,126.7342023,,전라북도 부안군 부안읍 동중리 239-2,전라북도 부안군 부안읍 군청길 1-9
202,제3농공단지,35.7380051,126.7276523,,전라북도 부안군 행안면 역리 123-3,전라북도 부안군 행안면 화천3길 76
203,진동공원,35.7106099,126.7182405,,전라북도 부안군 행안면 진동리 산 35-1,전라북도 부안군 행안면 남산길 44-4
204,재장공원,35.7561616,126.7059579,,전라북도 부안군 동진면 당상리 산 2,전라북도 부안군 동진면 간재로 289
205,용계공원,35.7468787,126.6951309,,전라북도 부안군 동진면 당상리 883-8,전라북도 부안군 동진면 용주동길 9-3
206,덕화공원,35.7583693,126.7064186,,전라북도 부안군 동진면 증산리 504-15,전라북도 부안군 동진면 간재로 289
207,봉황공원,35.7494981,126.7366991,,전라북도 부안군 동진면 봉황리 357-2,전라북도 부안군 동진면 동진로 81-8
208,수문공원,35.7661863,126.6973402,,전라북도 부안군 계화면 창북리 336-4,전라북도 부안군 계화면 신창길 36-6
209,화상공원,35.7618901,126.7014376,,전라북도 부안군 계화면 창북리 410,전라북도 부안군 계화면 화상길 9-1
210,중앙공원,35.7605095,126.698533,,전라북도 부안군 계화면 창북리 484,전라북도 부안군 계화면 창북2길 15-1
211,염창공원,35.7620888,126.6919135,,전라북도 부안군 계화면 창북리 산 44-1,전라북도 부안군 계화면 창북길 108
212,계화공원,35.7916062,126.632929,,전라북도 부안군 계화면 계화리 산 67,
213,계상공원,35.7923564,126.640665,,전라북도 부안군 계화면 계화리 산 15-1,전라북도 부안군 계화면 계화로 551-1
214,동돈공원,35.7539747,126.6397581,,전라북도 부안군 계화면 의복리 109-2,전라북도 부안군 계화면 동돈길 33
215,돈지공원,35.7543065,126.647679,,전라북도 부안군 계화면 의복리 3-2,전라북도 부안군 계화면 돈지3길 45-14
216,의복공원,35.7456296,126.6446838,,전라북도 부안군 계화면 의복리 산 8-1,전라북도 부안군 계화면 의복로 78-91
217,상서공원,35.6914416,126.6789133,,전라북도 부안군 상서면 용서리 213-6,전라북도 부안군 상서면 부안로 2055-14
218,백산공원,35.719531,126.8065894,,전라북도 부안군 백산면 용계리 산 9,전라북도 부안군 백산면 백산로 581-34
219,오곡공원,35.7149915,126.8017303,,전라북도 부안군 백산면 오곡리 1064-1,전라북도 부안군 백산면 백산로 521
220,줄포공원,35.593708,126.6752466,,전라북도 부안군 줄포면 줄포리 854-1,전라북도 부안군 줄포면 줄포용서길 12
221,부안자연생태공원,35.5809023,126.6689405,,전라북도 부안군 줄포면 우포리 516-1,
222,원장공원,35.5940116,126.6834614,,전라북도 부안군 줄포면 장동리 406-41,전라북도 부안군 줄포면 금동길 69-3
223,온천공원,37.2802657,127.4503713,,경기도 이천시 창전동 460-18,경기도 이천시 애련정로 110-2
224,수변공원,37.2681203,127.4605268,,경기도 이천시 진리동 142,경기도 이천시 경충대로2422번길 17
225,새누공원,35.7300558,127.1244643,,전라북도 완주군 구이면 원기리 436,전라북도 완주군 구이면 모악호수로 41-18
226,우주공원,35.9706822,127.1120616,,전라북도 완주군 봉동읍 장구리 602,전라북도 완주군 봉동읍 테크노밸리로 505
227,8호 어린이공원(서정동),37.0513085,127.044442,,경기도 평택시 고덕면 여염리 4313-2,경기도 평택시 고덕면 고덕국제대로 152
228,9호 어린이공원(서정동),37.06299865,127.0499088,,경기도 평택시 고덕면 여염리 4156-9,경기도 평택시 고덕면 고덕갈평10길 28
229,서재초 어린이공원(동삭2지구),37.01824861,127.1039663,,경기도 평택시 동삭동 856,경기도 평택시 상서재로6길 19
230,37호 어린이공원(장당동),37.04953879,127.0444185,,경기도 평택시 고덕면 여염리 4314-2,경기도 평택시 고덕면 고덕국제2로 73
231,38호 어린이공원(서정동),37.0513085,127.044442,,경기도 평택시 고덕면 여염리 4313-2,경기도 평택시 고덕면 고덕국제대로 152
232,39호 어린이공원(서정동),37.06366607,127.0484161,,경기도 평택시 고덕면 여염리 4150-8,경기도 평택시 고덕면 고덕갈평10길 167
233,기린공원,35.82134,127.164199,,전라북도 전주시 완산구 중노송동 산 11-1,전라북도 전주시 완산구 견훤로 100-139
234,화산공원,35.818987,127.1297,,전라북도 전주시 완산구 중화산동2가 산 101,전라북도 전주시 완산구 중화산동2가 어은로 64
235,중앙공원,35.81533,127.150193,,전라북도 전주시 완산구 풍남동3가 102,전라북도 전주시 완산구 풍남동3가 태조로 44
