시도,시군구,사고건수,사망자수,중상자수,경상자수,부상신고자수
경남,거제시,17,17,6,7,0
경남,의령군,5,5,0,0,0
경남,함안군,16,17,2,5,0
경남,창녕군,7,7,0,1,0
경남,양산시,25,25,10,13,3
경남,고성군,10,10,6,0,1
경남,사천시,11,11,1,0,0
경남,남해군,8,8,2,0,0
경남,하동군,11,11,1,2,0
경남,산청군,2,2,3,0,0
경남,함양군,7,7,3,10,0
경남,거창군,14,15,5,1,0
경남,합천군,10,10,2,2,0
경남,창원시(통합),62,62,15,10,1
제주,제주시,40,40,7,15,3
제주,서귀포시,24,26,3,2,0
대구,중구,11,11,0,0,0
대구,동구,17,19,5,20,0
대구,서구,8,8,1,1,0
대구,남구,4,4,0,0,0
대구,북구,22,22,4,7,0
대구,수성구,9,9,5,12,3
대구,달서구,17,17,0,0,0
대구,달성군,21,22,9,13,1
인천,중구,6,6,3,4,0
인천,동구,3,3,0,2,0
인천,미추홀구,16,17,3,3,1
인천,부평구,16,16,1,2,1
인천,남동구,22,23,8,13,1
인천,서구,20,20,4,9,0
인천,연수구,9,10,5,2,0
인천,계양구,10,10,1,3,0
인천,강화군,10,10,3,0,0
인천,옹진군,3,3,1,0,0
광주,동구,6,6,0,4,0
광주,서구,7,7,0,1,0
광주,북구,15,15,5,3,0
광주,광산구,15,15,0,2,0
광주,남구,6,6,0,0,0
대전,동구,14,14,1,4,0
대전,중구,12,12,4,1,0
대전,서구,22,23,2,6,1
대전,유성구,14,14,0,3,0
대전,대덕구,12,14,5,1,0
울산,중구,5,5,1,1,0
울산,남구,9,9,0,1,0
울산,동구,1,1,0,0,0
울산,북구,12,13,3,4,2
울산,울주군,26,27,3,4,0
세종,세종시,13,15,1,0,0
